Importer,City,Coefficient,Index,Textiles and furniture,"Vegetables, foodstuffs and wood",Stone and glass,Minerals,Metals,Chemicals and plastics,Transport vehicles,Machinery,Electronics,Other,"total, $"
ESP,Valencia,0.14195867,380,-0.00226754111069,-0.000635239285579,-0.000172333415161,-2.03542425341e-05,-0.000651942215543,-0.000824593985361,-0.000151865028688,-0.00175564353887,-0.00151646799882,-5.90394423421e-06,-0.0080018847654
ESP,Barcelona,0.289128482,1031,-0.00226754111069,-0.000635239285579,-0.000172333415161,-2.03542425341e-05,-0.000651942215543,-0.000824593985361,-0.000151865028688,-0.00175564353887,-0.00151646799882,-5.90394423421e-06,-0.0080018847654
ESP,Madrid,0.568912848,806,-0.00226754111069,-0.000635239285579,-0.000172333415161,-2.03542425341e-05,-0.000651942215543,-0.000824593985361,-0.000151865028688,-0.00175564353887,-0.00151646799882,-5.90394423421e-06,-0.0080018847654
MEX,Manzanillo,0.301112482,877,-0.00199361759703,-0.000591313463221,-0.000231203034337,-6.35332694054e-05,-0.000893654534422,-0.00131452552942,-0.00090897115095,-0.00463625488499,-0.00347448191902,-2.27423717797e-07,-0.0141077828067
MEX,Veracruz,0.698887518,1322,-0.00199361759703,-0.000591313463221,-0.000231203034337,-6.35332694054e-05,-0.000893654534422,-0.00131452552942,-0.00090897115095,-0.00463625488499,-0.00347448191902,-2.27423717797e-07,-0.0141077828067
TUR,Istanbul,1.0,264,-0.00160863205774,-0.000363442261273,-0.000298766462746,-2.55596949988e-05,-0.000780181183589,-0.00108782379762,-0.00030573637236,-0.00256102716421,-0.00234322695825,-8.35778924399e-06,-0.00938275374268
IDN,Jakarta,1.0,307,-0.0126667269015,-0.00521833864171,-0.00207027272583,-0.00400291305358,-0.0103441830187,-0.0100435723189,-0.00275919148372,-0.0159067404374,-0.0121858257178,-1.84371809819e-06,-0.0751996080171
NLD,Rotterdam,1.0,123,-0.00165250369968,-0.000602940938095,-0.000134730366251,-4.66634307077e-05,-0.0005258519139,-0.000895101161718,-0.000213864279841,-0.00525268707057,-0.00344508013543,-7.62652777312e-05,-0.0128456882735
SAU,Riyadh,1.0,1418,-0.0263108546123,-0.00642663129262,-0.00577874285356,-0.000358374875808,-0.0142994200905,-0.00960812487441,-0.0056244524798,-0.0171112792493,-0.0114412196122,-3.33622259892e-06,-0.096962436163
CHE,Zurich,1.0,1230,-0.0160440490945,-0.00501554298868,-0.00253708515076,-0.000482696082405,-0.0040746715272,-0.0133389693492,-0.00139474797438,-0.0232490316292,-0.0202247561978,-1.94410059133e-05,-0.0863809909992
SWE,Goteborg,1.0,927,-0.00304692925022,-0.000740828416158,-0.000223961428176,-1.93062215998e-05,-0.000824534196446,-0.000620329384577,-0.000307141910493,-0.00196729767431,-0.00230882377586,-3.53280500599e-06,-0.010062685063
NGA,Lagos,1.0,692,-0.000795802261018,-0.000213763378344,-0.000151444836974,-2.2008810624e-05,-0.000415940034936,-0.000416816301097,-0.000291430849932,-0.000413466060672,-0.000533368746813,-1.10361043024e-06,-0.00325514489107
POL,Warsaw,1.0,1367,-0.000804197973928,-0.000179237363079,-9.14779832277e-05,-1.35883059418e-05,-0.000285824968786,-0.000259870214395,-0.000132631493807,-0.00125752186911,-0.000844053425151,-1.69008271241e-07,-0.00386857260565
BEL,Antwerpen,1.0,247,-0.00318595418064,-0.000948241069146,-0.000815324673332,-4.61779218952e-05,-0.00177863702633,-0.00196756351086,-0.000307785431029,-0.00230267125391,-0.00181937789696,-0.000110422206223,-0.0132821551707
ARG,Buenos Aires,1.0,1321,-0.00103835251707,-0.000273085484531,-0.000131900153519,-0.000102143190478,-0.000502266276079,-0.0021050720201,-0.00130914205277,-0.00309429769048,-0.00344805341678,-7.35352094098e-07,-0.0120050481543
NOR,Bergen,1.0,867,-0.00113663972025,-0.000315732688031,-0.000113155325471,-3.22377687663e-05,-0.000388543689417,-0.000247999665664,-0.000224850805617,-0.000604268304708,-0.000529275765312,-7.43209814026e-07,-0.00359344694312
VEN,Maiquetia,1.0,409,-0.00023404481485,-5.8414454313e-05,-3.64869143283e-05,-3.87282191745e-06,-0.000296274073072,-0.000184719632986,-0.000369582166385,-0.000780099129942,-0.000406688280641,0.0,-0.00237018228843
AUT,Vienna,1.0,1421,-0.00113972355104,-0.000350649656463,-0.000228298341335,-6.09822318296e-05,-0.000576431737512,-0.000479332016555,-0.00014643278354,-0.00132551241022,-0.0024809464156,-6.60114454548e-06,-0.00679491028848
IRN,Tehran,1.0,1381,-0.00168009418303,-0.000704517085446,-0.000705776187765,-0.000207528789136,-0.00150802451628,-0.00117833529388,-0.000874464801035,-0.00202022575635,-0.00131747406795,-1.92278394934e-07,-0.0101966329593
THA,Bangkok,1.0,1226,-0.00775549268226,-0.00702630661416,-0.00267069477095,-0.000838820113518,-0.0101261390695,-0.0102199141467,-0.00293260216566,-0.01645146867,-0.0152861684693,-2.11339761821e-06,-0.0733097200995
ARE,Abu Dhabi,1.0,673,-0.00698416070257,-0.00131362255933,-0.000988308352045,-0.000344004771917,-0.00227144831927,-0.00165883280947,-0.000715706301555,-0.00480281416812,-0.00450348161624,-6.30746929829e-08,-0.0235824426752
