City,Longitude,Latitude,Distance
Naryan Mar,53.075357,67.677481,0.0349857113691
Nagercoil,76.410641,6.490428,1.97343887668
Tangier,-5.834591,35.755906,0.00921954445729
-,77.968956,44.354087,0.776580324242
Riga,24.099965,56.950024,0.0
Jhang,72.317392,31.630186,0.350091416633
Edirne,26.541852,41.672476,0.0280713376952
Shaoyang,111.492048,27.621082,0.686225181701
Hampton,-76.324463,36.958189,0.076550636836
Tiksi,128.974615,71.644189,0.141028365941
-,57.634149,57.435707,0.680000735294
-,159.270642,28.20454,18.7519181952
-,2.843592,60.563415,2.48695496541
Chittagong,91.49992,21.484845,0.896674411367
Arnhem,5.975037,51.987895,0.052
Astana,71.379921,51.210944,0.0566038867923
-,103.248024,72.370998,0.849699358597
Kaka,59.959149,37.180393,0.397216565616
-,16.865182,48.106242,0.255812431285
Arzamas,43.845512,55.416055,0.0487031826475
Izhevsk,53.203645,56.823415,0.037483329628
Grenoble,5.781313,45.19766,0.0636003144646
-,56.323449,50.828496,1.00881762475
-,6.83022,45.037773,0.840609302827
Volgograd,44.385596,48.769485,0.128362767187
-,134.61778,48.687066,0.553017178757
Kaohsiung,120.266602,22.633307,0.0
Calais,2.105304,51.467902,0.58507093587
-,-0.888771,46.41212,0.357974859452
-,32.354845,30.428873,0.186938492558
-,-62.612598,43.734658,1.34588038101
Viseu,-43.060607,1.632589,4.18132538796
-,131.960065,43.441693,0.315981012088
-,-134.273704,35.000243,11.3262742771
Toguchin,84.238893,55.619059,0.405563805091
Luohe,114.038698,33.569108,0.00905538513814
Lublin,21.99858,51.966234,0.917677503266
Cherlak,74.833136,53.921256,0.239353295361
Hamamatsu,140.315095,26.574883,8.54255073149
Datong,113.271184,40.057752,0.0364005494464
Sharya,44.984073,58.346772,0.526036120433
-,6.930861,52.308978,0.767881501275
-,39.072086,21.333277,0.23551008471
-,55.209165,45.308187,0.165849329212
Vila Velha,-39.009408,-21.518995,1.7430668375
-,79.652162,46.918022,1.30441289475
Valencia,-0.405124,39.42873,0.0562227711875
Pingxiang,113.729707,27.594268,0.122784363825
-,12.392995,45.437446,0.0580344725142
Szeged,20.113807,46.238418,0.037947331922
Zholymbet,71.097482,51.733051,0.613235680632
-,48.082015,46.517927,0.171143214882
-,4.962676,52.106957,0.157155973479
-,107.417676,52.132514,0.371097022354
Omsk,73.25033,54.935724,0.159423963067
Tralee,-18.861323,50.21403,9.37163512947
Qazaly,62.148453,45.847253,0.0930376267969
Hanggin Houqi,107.510226,40.771532,0.38687077946
-,132.268117,44.045324,0.348610097387
-,40.581474,52.113127,0.751354110922
-,27.789963,60.948347,0.410621480198
Ayakoz,80.380599,47.826134,0.147383852576
Longjiang,122.859565,47.533474,0.373696400839
Amderma,61.583045,71.129221,1.3686420277
-,11.7615,53.008559,0.712539121733
Uthai Thani,100.191835,15.481359,0.193279590231
-,110.823996,28.132338,1.1928118041
Qingyuan,113.053539,23.445576,0.255131338726
Khatanga,102.438701,71.954779,0.0898443097809
Kerman,56.988113,29.840566,0.468129255655
Chelyuskin,103.219723,77.901146,1.04630588262
-,51.511489,54.467937,0.917117767792
Shangdu,113.286422,41.317577,0.338917394065
Panaji,73.920767,14.093017,1.40278651262
-,50.789003,27.140925,0.92814923369
Maiquetia,-66.925459,10.600516,0.0450111097397
Makhachkala,47.41021,43.025511,0.101074230148
Gujrat,74.10642,32.578048,0.0260768096208
-,30.236979,60.098455,0.177544360654
-,93.225035,55.870277,0.386803567719
Changsha,112.969993,28.19997,0.0
-,2.335651,49.678191,0.224899977768
-,38.593393,20.173103,1.48263684023
-,106.095328,0.934449,1.6240889754
Pakhachi,169.742297,58.46788,2.2243785649
Leeuwarden,5.158617,53.834828,0.855336775779
-,73.503154,46.884043,0.772756106414
-,44.509632,55.592568,0.735764228541
-,66.529588,22.796497,2.12440015063
Solnechnogorsk,37.175401,55.986362,0.275065446758
-,12.430254,45.422407,0.0965090669316
Eskisehir,30.760467,39.812544,0.230703272625
-,2.779228,50.123252,0.16004999219
-,135.253612,49.447066,1.00100949046
Naberezhnyye Chelny,52.281589,55.676117,0.0449444101085
-,30.376609,59.903896,0.0703278038901
Chaman,64.667481,28.915969,2.68345337206
Fox Bay,-62.363316,-55.559316,4.26589263812
Chenzhou,113.056863,25.258205,0.54267209252
Morioka,142.726011,39.034288,1.73718507937
Aginskoye,114.464683,51.605603,0.506332894448
-,6.040302,45.489534,0.417167831933
L'Ariana,10.359379,36.816356,0.166979040601
Velikiy Novgorod,31.800315,59.050827,0.724224412734
-,11.517095,48.543177,0.23668122021
Almetyevsk,52.266345,54.735051,0.173611635555
Chifeng,119.265845,42.201747,0.323233661613
Angers,-0.613262,47.422007,0.101257098517
Schwerin,11.211586,53.411748,0.301439877919
Ganca,46.409576,40.695122,0.060827625303
-,106.738559,48.241675,0.370552290507
Ipswich,1.344808,51.972424,0.200571682947
-,83.471024,53.889323,0.359762421606
Rosenheim,12.117748,47.850613,0.0150332963784
Dzuunmod,107.151187,47.838929,0.240831891576
Cheboksary,47.245534,56.104875,0.0253179778023
-,12.081212,52.904313,0.90088678534
-,-34.669438,49.220113,12.266124123
Lao Chi,103.954755,22.525845,0.0273130005675
Visby,17.939052,58.442229,0.884977400841
-,30.91682,31.802602,0.628790903242
-,45.440291,38.99904,0.211858443306
-,10.58996,37.327411,0.603075451333
Yining,82.911027,44.620971,1.71946561466
Frederikshavn,11.052492,57.513318,0.524978094781
-,3.041735,50.343487,0.265858985178
-,53.378542,57.902148,0.781882983572
Gornyak,80.935093,51.002123,0.553177186804
Borovichi,32.817195,58.61101,1.10080379723
Kungur,57.156672,57.35172,0.21931256234
-,12.59234,47.69942,0.461546314036
Trepassey,-53.438593,46.171266,0.571079679204
-,54.353413,24.539621,0.0743303437366
Chistopol,50.185025,56.112387,0.87518283804
-,99.554878,-16.89605,12.396339016
Rawalpindi,72.941536,33.689154,0.132382022949
Dieppe,0.717581,50.594501,0.755080128198
Chelyabinsk,61.438668,55.154991,0.0
Amiens,2.347325,49.866616,0.0574282160614
Brive,1.479362,44.906133,0.249903981561
Rome,12.483258,41.895956,0.0
Krasnoyarsk,92.791345,56.038201,0.0787464284904
Matruh,27.106648,32.423387,1.08002685152
-,131.950775,43.409595,0.282985865371
Nukualofa,-180.368472,-26.688185,7.56855402306
Shalqar,59.191189,47.995471,0.451896005736
London,-0.116722,51.499995,0.0
Pavlodar,76.795208,52.25758,0.160589538887
Kuqa,84.093241,41.848458,1.16320634455
Bam,58.714771,28.932007,0.394442644753
-,6.590762,51.331903,0.186775266028
-,54.012684,51.923267,1.10628115775
Bukhara,64.29064,39.708839,0.156083311087
-,37.708557,55.780068,0.0971236325515
Dushanbe,68.773879,38.560035,0.0
Coburg,11.037504,50.374992,0.129247823966
-,-0.384774,43.300108,0.472771615053
Ekibastuz,75.576341,51.78746,0.262268945931
-,106.3017,51.953369,0.700562631033
Xinyu,115.05876,27.84234,0.135665028655
Helsinki,24.939346,60.17204,0.00640312423744
Palikir,151.261826,8.27035,7.0196262721
-,131.955805,43.831933,0.07155417528
-,48.021097,46.764989,0.417387110486
Linchuan,116.894838,28.276894,0.616825745247
Hurghada,34.474747,27.246587,0.645223992114
Amsterdam,4.91664,52.349969,0.0
Hengyang,112.672134,26.897703,0.0839523674473
Maqat,53.382494,47.6501,0.0550363516233
Oktyabrsk,57.426974,49.448308,0.0308058436015
Kawasaki,139.634183,35.448948,0.107712580509
Phitsanulok,100.109485,17.158758,0.369400866269
-,87.64312,42.279638,1.52651531273
Bac Lieu,106.671747,6.753892,2.69944068281
-,42.099735,42.266844,0.442159473493
Gympie,153.029633,-25.902677,0.458995642681
-,106.533271,47.937361,0.384520480599
-,9.353241,53.816215,0.699546281528
-,4.487396,51.114292,0.128140547837
Changling,123.187139,44.344666,0.806494885291
-,-0.5392,42.57482,0.905454581964
-,-44.058491,35.478686,14.6056697553
-,-50.97762,28.356083,14.3566528132
Kutaisi,42.703717,42.201207,0.0554707129934
Barysaw,28.577411,54.252133,0.0888875694347
Isikul,72.036008,54.984493,0.769966882405
Jinhua,119.934083,29.218782,0.30076070222
Kotovsk,41.236883,51.960014,0.688849765914
-,106.613524,47.881616,0.305014753742
-,104.513722,51.401426,0.853366275406
Obluchye,130.942215,49.002832,0.141031911283
Utsunomiya,139.95626,36.857386,0.318818129974
Mito,140.792595,35.354556,1.06216477065
Cottbus,14.349439,52.332339,0.562321082657
-,32.530976,30.253648,0.24972384748
Otar,75.198206,43.538835,0.0164924225025
Igarka,86.541679,67.490466,0.0470106370942
Lupanshui,104.635342,26.690825,0.220483559478
-,2.430632,48.796221,0.121016527797
-,44.901031,41.619272,0.152761251631
Seattle,-122.235693,47.685496,0.155051604313
-,9.649964,52.321601,0.0807093550959
Angangxi,123.871005,47.057565,0.124277914369
Barnaul,83.110437,53.128896,0.674018545739
Dresden,13.323427,51.329474,0.510068622834
-,10.946853,52.432379,0.482631329277
Poronaysk,142.993596,49.235233,0.0912688336728
-,4.456215,51.938064,0.03
Brighton,-0.417639,50.399442,0.497257478576
Kogon,64.555772,39.713571,0.0122065556157
Vaduz,9.608358,47.232016,0.133734812222
-,140.342928,50.753245,0.838687069174
Nouadhibou,-19.980746,23.007459,3.60486809745
Buyant-Uhaa,110.765849,44.753971,0.626278691958
Santa Barbara,-120.431593,32.090621,2.44975100776
Pskov,28.372546,57.800597,0.0518652099196
-,48.191426,39.860069,0.732546926824
Sukabumi,101.259651,-14.456332,9.42081291609
Tatarsk,75.478473,55.115159,0.50056967547
-,-7.092013,-38.221671,25.0811578082
-,53.467921,44.294459,1.19760594521
-,114.009705,51.595209,0.7107974395
Bogotol,88.941455,56.064427,0.596685009029
-,126.669441,31.082386,2.4324458884
Cranbourne,144.929738,-38.592737,0.606348084849
Ust Olensk,121.17381,75.104417,2.52943412644
-,9.990953,53.454216,0.0964209520799
Chapayevsk,49.667496,52.951894,0.0610982814816
Middelburg,3.552707,51.422232,0.0982293235241
Ayutthaya,100.566121,14.368122,0.00921954445729
-,26.398748,40.202149,0.0564358042381
-,134.494355,47.41039,0.28131477032
-,105.905188,-2.867601,0.825208458512
Shumerlya,46.582998,55.476533,0.159201130649
-,71.004291,51.708167,0.67639115902
-,22.564944,43.13465,0.6930007215
Uyar,94.328517,55.805907,0.0145602197786
Nantes,-1.52413,47.219401,0.0666108099335
Harper,-7.908256,3.675893,0.724625420476
