,0,1,2,3
142,142.0,"1352,1115","23.2769760977,21.6477000369","1,1"
143,143.0,"513,536,513,536","96.267538681,226.611058757,96.267538681,226.611058757","1,1,2,2"
144,144.0,"1132,132,380","401.26997141,437.163489645,352.614598386","3,3,3"
145,145.0,"303,1317,303,1317,303,1317","140.974728984,91.1522838587,140.974728984,91.1522838587,140.974728984,91.1522838587","1,1,2,2,2,2"
146,146.0,"1270,84,1270,84,1270,84,1270,84","19.8573068803,1.63856085663,19.8573068803,1.63856085663,19.8573068803,1.63856085663,19.8573068803,1.63856085663","2,2,1,1,2,2,2,2"
147,147.0,"815,323","40.4077717672,64.7123546325","1,1"
148,148.0,"140,872,140,872,140,872","66.5667109521,51.4362968306,66.5667109521,51.4362968306,66.5667109521,51.4362968306","1,1,2,2,2,2"
149,149.0,"360,1286","1166.23276753,1046.29988512","3,3"
150,150.0,"1355,70","16.6798844186,29.6877284047","3,3"
151,151.0,"1082,1272,1082,1272,1082,1272,1082,1272","26.9894886335,29.4536233031,26.9894886335,29.4536233031,26.9894886335,29.4536233031,26.9894886335,29.4536233031","2,2,1,1,2,2,2,2"
152,152.0,"944,232,944,232,944,232,944,232","167.683892193,209.478441081,167.683892193,209.478441081,167.683892193,209.478441081,167.683892193,209.478441081","2,2,1,1,2,2,2,2"
153,153.0,"589,643","8.21061507444,89.2245587977","1,1"
154,154.0,"26,544","24.8811528232,19.8391328293","1,1"
155,155.0,"988,1249","868.620884798,1272.34853919","3,3"
156,156.0,"605,708,260,664","897.564659696,847.752765071,1706.96812759,439.807004548","3,3,3,3"
157,157.0,"603,1261","19.0997193586,64.7569249801","1,1"
158,158.0,"1304,1134","31.8239729423,39.7547363075","1,1"
159,159.0,"1041,508","39.8065243796,35.6124897182","1,1"
160,160.0,"1017,589","59.2915446416,138.850912462","1,1"
161,161.0,"868,216","254.640739036,75.6944438699","4,4"
162,162.0,"1385,739,1385,739,1385,739,1385,739","31.6278304089,8.69055171169,31.6278304089,8.69055171169,31.6278304089,8.69055171169,31.6278304089,8.69055171169","2,2,1,1,2,2,2,2"
163,163.0,"1338,964","141.171723266,27.7314690598","1,1"
164,164.0,"937,1264,468,335","610.296255011,431.978594824,2072.08189988,1558.2934948","3,3,3,3"
165,165.0,"501,414,501,414,501,414,501,414","72.6689625015,80.5907438037,72.6689625015,80.5907438037,72.6689625015,80.5907438037,72.6689625015,80.5907438037","2,2,1,1,2,2,2,2"
166,166.0,"620,756","30.5674036584,31.7295539159","1,1"
167,167.0,"1180,1286,73,1444","355.938310435,809.134653752,1862.04441336,2324.91917269","3,3,3,3"
168,168.0,"1241,1257","106.524081783,290.320416196","1,1"
169,169.0,"108,26","69.8862333108,35.766979122","1,1"
170,170.0,"1421,1383","52.630002567,71.1989040027","1,1"
171,171.0,"1446,984,973,102","1361.56053692,104.1119589,558.853728043,1535.64349572","3,3,3,3"
172,172.0,"843,529","44.0655102318,101.053295282","1,1"
173,173.0,"1219,478","3187.69820676,1182.89198963","3,3"
174,174.0,"767,518,767,518,767,518,767,518","67.4010800097,61.8847190953,67.4010800097,61.8847190953,67.4010800097,61.8847190953,67.4010800097,61.8847190953","2,2,1,1,2,2,2,2"
175,175.0,"715,1152","1135.62519627,966.87646356","3,3"
176,176.0,"739,997,739,997,739,997,739,997","2.83779942204,2.70190143271,2.83779942204,2.70190143271,2.83779942204,2.70190143271,2.83779942204,2.70190143271","2,2,1,1,2,2,2,2"
177,177.0,"723,675","159.002037723,196.622812942","4,4"
178,178.0,"1245,1135","49.5980642161,34.2472333797","1,1"
179,179.0,"511,1242","24.7390391408,15.5864473525","3,3"
